year,n_events,total_mhw_days,max_intensity_degC,mean_intensity_degC,longest_event_days
2014,7,94,0.7945003509521484,0.19275269756012722,26
2015,7,60,1.0929994583129883,0.2897827294283298,13
2016,2,18,0.2674999237060547,0.13105572594536674,9
2017,3,28,0.4205007553100586,0.19864735169844194,11
2018,5,64,1.197500228881836,0.3774220646271843,17
2019,5,40,0.7719993591308594,0.30081380011543396,10
2020,3,19,0.8859996795654297,0.3572138627370198,8
2021,4,45,0.97650146484375,0.3346090715515699,19
2022,8,130,2.061001777648926,0.5373766182907044,45
2023,2,81,2.2659988403320312,1.0350691221528134,59
2024,9,219,1.8984975814819336,0.4642199182996257,63
